Device,Test Name,Test Status,Message(s),Test description,Test category
inet-cloud,VerifyBGPPeerMPCaps,unset,,Verifies the multiprotocol capabilities of BGP peers.,BGP
inet-cloud,VerifyBGPPeerSession,unset,,Verifies the session state of BGP IPv4 peers.,BGP
inet-cloud,VerifyEnvironmentCooling,unset,,Verifies the status of power supply fans and all fan trays.,Hardware
inet-cloud,VerifyEnvironmentPower,unset,,Verifies the power supplies status.,Hardware
inet-cloud,VerifyEnvironmentSystemCooling,unset,,Verifies the device's system cooling status.,Hardware
inet-cloud,VerifyTemperature,unset,,Verifies if the device temperature is within acceptable limits.,Hardware
inet-cloud,VerifyTransceiversManufacturers,unset,,Verifies if all the transceivers come from approved manufacturers.,Hardware
inet-cloud,VerifyTransceiversTemperature,unset,,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
inet-cloud,VerifyInterfacesStatus,unset,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
inet-cloud,VerifyRoutingProtocolModel,unset,,Verifies the configured routing protocol model.,Routing
inet-cloud,VerifyNTP,unset,,Verifies if NTP is synchronised.,System
inet-cloud,VerifyReloadCause,unset,,Verifies the last reload cause of the device.,System
mpls-cloud,VerifyEnvironmentCooling,unset,,Verifies the status of power supply fans and all fan trays.,Hardware
mpls-cloud,VerifyEnvironmentPower,unset,,Verifies the power supplies status.,Hardware
mpls-cloud,VerifyEnvironmentSystemCooling,unset,,Verifies the device's system cooling status.,Hardware
mpls-cloud,VerifyTemperature,unset,,Verifies if the device temperature is within acceptable limits.,Hardware
mpls-cloud,VerifyTransceiversManufacturers,unset,,Verifies if all the transceivers come from approved manufacturers.,Hardware
mpls-cloud,VerifyTransceiversTemperature,unset,,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
mpls-cloud,VerifyInterfacesStatus,unset,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
mpls-cloud,VerifyRoutingProtocolModel,unset,,Verifies the configured routing protocol model.,Routing
mpls-cloud,VerifyNTP,unset,,Verifies if NTP is synchronised.,System
mpls-cloud,VerifyReloadCause,unset,,Verifies the last reload cause of the device.,System
pf1,VerifyAVTRole,unset,,Verifies the AVT role of a device.,AVT
pf1,VerifyBGPPeerMPCaps,unset,,Verifies the multiprotocol capabilities of BGP peers.,BGP
pf1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP IPv4 peers.,BGP
pf1,VerifyLLDPNeighbors,unset,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
pf1,VerifyReachability,unset,,Test network reachability to one or many destination IP(s).,Connectivity
pf1,VerifyEnvironmentCooling,unset,,Verifies the status of power supply fans and all fan trays.,Hardware
pf1,VerifyEnvironmentPower,unset,,Verifies the power supplies status.,Hardware
pf1,VerifyEnvironmentSystemCooling,unset,,Verifies the device's system cooling status.,Hardware
pf1,VerifyTemperature,unset,,Verifies if the device temperature is within acceptable limits.,Hardware
pf1,VerifyTransceiversManufacturers,unset,,Verifies if all the transceivers come from approved manufacturers.,Hardware
pf1,VerifyTransceiversTemperature,unset,,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
pf1,VerifyInterfacesStatus,unset,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
pf1,VerifyRoutingProtocolModel,unset,,Verifies the configured routing protocol model.,Routing
pf1,VerifySpecificIPSecConn,unset,,Verifies the IPv4 security connections.,Security
pf1,VerifyNTP,unset,,Verifies if NTP is synchronised.,System
pf1,VerifyReloadCause,unset,,Verifies the last reload cause of the device.,System
pf2,VerifyAVTRole,unset,,Verifies the AVT role of a device.,AVT
pf2,VerifyBGPPeerMPCaps,unset,,Verifies the multiprotocol capabilities of BGP peers.,BGP
pf2,VerifyBGPPeerSession,unset,,Verifies the session state of BGP IPv4 peers.,BGP
pf2,VerifyLLDPNeighbors,unset,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
pf2,VerifyReachability,unset,,Test network reachability to one or many destination IP(s).,Connectivity
pf2,VerifyEnvironmentCooling,unset,,Verifies the status of power supply fans and all fan trays.,Hardware
pf2,VerifyEnvironmentPower,unset,,Verifies the power supplies status.,Hardware
pf2,VerifyEnvironmentSystemCooling,unset,,Verifies the device's system cooling status.,Hardware
pf2,VerifyTemperature,unset,,Verifies if the device temperature is within acceptable limits.,Hardware
pf2,VerifyTransceiversManufacturers,unset,,Verifies if all the transceivers come from approved manufacturers.,Hardware
pf2,VerifyTransceiversTemperature,unset,,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
pf2,VerifyInterfacesStatus,unset,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
pf2,VerifyRoutingProtocolModel,unset,,Verifies the configured routing protocol model.,Routing
pf2,VerifySpecificIPSecConn,unset,,Verifies the IPv4 security connections.,Security
pf2,VerifyNTP,unset,,Verifies if NTP is synchronised.,System
pf2,VerifyReloadCause,unset,,Verifies the last reload cause of the device.,System
site1-border1,VerifyBGPPeerMPCaps,unset,,Verifies the multiprotocol capabilities of BGP peers.,BGP
site1-border1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP IPv4 peers.,BGP
site1-border1,VerifyLLDPNeighbors,unset,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
site1-border1,VerifyReachability,unset,,Test network reachability to one or many destination IP(s).,Connectivity
